show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s159,TV Show,Sample Netflix Title 159,A. Director,Unknown,Spain,"August 22, 2021",1994,TV-Y,6 Seasons,"Action & Adventure, Thrillers, Documentaries",Sample description created for educational EDA analysis.
s160,Movie,Sample Netflix Title 160,M. Lee,Unknown,Canada,"November 23, 2018",2006,PG,105 min,"Romantic Movies, Thrillers",Sample description created for educational EDA analysis.
s161,Movie,Sample Netflix Title 161,M. Lee,Unknown,Japan,"December 11, 2016",1994,R,152 min,Children & Family Movies,Sample description created for educational EDA analysis.
s162,Movie,Sample Netflix Title 162,Unknown,Unknown,Canada,"February 6, 2020",2001,TV-Y7,159 min,International Movies,Sample description created for educational EDA analysis.
s163,Movie,Sample Netflix Title 163,Unknown,Unknown,France,"May 7, 2018",2004,PG-13,88 min,"Crime TV Shows, Dramas",Sample description created for educational EDA analysis.
s164,Movie,Sample Netflix Title 164,M. Lee,Unknown,Nigeria,"July 23, 2021",2010,PG,103 min,"Dramas, International Movies",Sample description created for educational EDA analysis.
s165,Movie,Sample Netflix Title 165,M. Lee,Unknown,Brazil,"December 8, 2015",2010,TV-Y7,130 min,Horror Movies,Sample description created for educational EDA analysis.
s166,TV Show,Sample Netflix Title 166,S. Johnson,Unknown,South Korea,"March 21, 2020",1999,TV-PG,2 Seasons,"Horror Movies, Comedies",Sample description created for educational EDA analysis.
s167,TV Show,Sample Netflix Title 167,R. Kumar,Unknown,South Korea,"July 23, 2021",2000,TV-Y,3 Seasons,"Dramas, Thrillers",Sample description created for educational EDA analysis.
s168,TV Show,Sample Netflix Title 168,R. Kumar,Unknown,United States,"November 28, 2020",2018,TV-Y7,3 Seasons,"Comedies, Dramas",Sample description created for educational EDA analysis.
s169,Movie,Sample Netflix Title 169,M. Lee,Unknown,Japan,"March 23, 2016",2019,TV-14,100 min,"Crime TV Shows, Reality TV, Documentaries",Sample description created for educational EDA analysis.
s170,TV Show,Sample Netflix Title 170,M. Lee,Unknown,Japan,"November 26, 2015",2017,TV-Y7,6 Seasons,"Crime TV Shows, Documentaries, International Movies",Sample description created for educational EDA analysis.
s171,TV Show,Sample Netflix Title 171,Unknown,Unknown,France,"February 24, 2021",2017,PG,6 Seasons,"TV Dramas, Dramas",Sample description created for educational EDA analysis.
s172,Movie,Sample Netflix Title 172,R. Kumar,Unknown,Brazil,"July 21, 2018",1989,PG,164 min,Documentaries,Sample description created for educational EDA analysis.
s173,Movie,Sample Netflix Title 173,S. Johnson,Unknown,Canada,"April 26, 2019",2010,R,125 min,Comedies,Sample description created for educational EDA analysis.
s174,Movie,Sample Netflix Title 174,A. Director,Unknown,Japan,"September 24, 2020",2015,TV-Y7,103 min,"Action & Adventure, Reality TV",Sample description created for educational EDA analysis.
s175,Movie,Sample Netflix Title 175,S. Johnson,Unknown,Nigeria,"April 9, 2017",2015,PG,165 min,"Horror Movies, International Movies",Sample description created for educational EDA analysis.
s176,TV Show,Sample Netflix Title 176,R. Kumar,Unknown,Canada,"December 26, 2021",1985,PG,5 Seasons,"Crime TV Shows, Romantic Movies",Sample description created for educational EDA analysis.
s177,TV Show,Sample Netflix Title 177,S. Johnson,Unknown,United States,"June 5, 2020",1990,TV-14,5 Seasons,"Children & Family Movies, International Movies, Reality TV",Sample description created for educational EDA analysis.
s178,Movie,Sample Netflix Title 178,R. Kumar,Unknown,France,"January 7, 2020",1985,TV-14,84 min,"International Movies, Documentaries, Romantic Movies",Sample description created for educational EDA analysis.
s179,TV Show,Sample Netflix Title 179,M. Lee,Unknown,United Kingdom,"March 7, 2021",2007,TV-14,7 Seasons,"Reality TV, Horror Movies, Action & Adventure",Sample description created for educational EDA analysis.
s180,Movie,Sample Netflix Title 180,S. Johnson,Unknown,Nigeria,"April 17, 2020",2016,TV-14,85 min,"Comedies, Action & Adventure, TV Dramas",Sample description created for educational EDA analysis.
s181,Movie,Sample Netflix Title 181,S. Johnson,Unknown,Spain,"August 18, 2018",1993,R,82 min,"Crime TV Shows, Documentaries, Romantic Movies",Sample description created for educational EDA analysis.
s182,Movie,Sample Netflix Title 182,R. Kumar,Unknown,Spain,"December 1, 2019",2019,TV-Y,95 min,"Action & Adventure, Crime TV Shows, Children & Family Movies",Sample description created for educational EDA analysis.
s183,TV Show,Sample Netflix Title 183,Unknown,Unknown,United States,"February 6, 2020",2011,TV-MA,6 Seasons,"Romantic Movies, Children & Family Movies, Comedies",Sample description created for educational EDA analysis.
s184,TV Show,Sample Netflix Title 184,S. Johnson,Unknown,Nigeria,"March 2, 2018",2015,R,4 Seasons,"Comedies, Horror Movies",Sample description created for educational EDA analysis.
s185,Movie,Sample Netflix Title 185,R. Kumar,Unknown,South Korea,"September 18, 2018",2006,TV-PG,101 min,"Action & Adventure, Reality TV",Sample description created for educational EDA analysis.
s186,Movie,Sample Netflix Title 186,S. Johnson,Unknown,Japan,"June 27, 2017",2003,PG,138 min,"Children & Family Movies, Documentaries, Crime TV Shows",Sample description created for educational EDA analysis.
s187,Movie,Sample Netflix Title 187,A. Director,Unknown,Brazil,"June 23, 2016",2006,TV-14,113 min,TV Dramas,Sample description created for educational EDA analysis.
s188,TV Show,Sample Netflix Title 188,R. Kumar,Unknown,India,"October 2, 2019",2010,TV-MA,7 Seasons,Documentaries,Sample description created for educational EDA analysis.
s189,TV Show,Sample Netflix Title 189,M. Lee,Unknown,United Kingdom,"September 18, 2021",1988,TV-14,7 Seasons,Dramas,Sample description created for educational EDA analysis.
s190,TV Show,Sample Netflix Title 190,S. Johnson,Unknown,India,"November 6, 2015",1996,TV-MA,1 Seasons,"International Movies, Action & Adventure",Sample description created for educational EDA analysis.
s191,TV Show,Sample Netflix Title 191,Unknown,Unknown,Japan,"May 6, 2021",2001,TV-MA,7 Seasons,"Thrillers, Horror Movies",Sample description created for educational EDA analysis.
s192,TV Show,Sample Netflix Title 192,Unknown,Unknown,South Korea,"October 17, 2018",1988,TV-Y7,1 Seasons,"Comedies, Dramas",Sample description created for educational EDA analysis.
s193,TV Show,Sample Netflix Title 193,Unknown,Unknown,Nigeria,"July 18, 2018",1994,TV-Y,2 Seasons,International Movies,Sample description created for educational EDA analysis.
s194,Movie,Sample Netflix Title 194,Unknown,Unknown,India,"January 22, 2015",2012,PG-13,160 min,International Movies,Sample description created for educational EDA analysis.
s195,TV Show,Sample Netflix Title 195,S. Johnson,Unknown,Germany,"December 19, 2017",1986,R,4 Seasons,Children & Family Movies,Sample description created for educational EDA analysis.
s196,Movie,Sample Netflix Title 196,S. Johnson,Unknown,Spain,"November 18, 2017",1990,PG,165 min,Romantic Movies,Sample description created for educational EDA analysis.
s197,Movie,Sample Netflix Title 197,M. Lee,Unknown,India,"January 21, 2015",1985,TV-Y7,162 min,"Action & Adventure, Thrillers",Sample description created for educational EDA analysis.
s198,Movie,Sample Netflix Title 198,M. Lee,Unknown,Germany,"January 11, 2019",2016,TV-Y,122 min,"Horror Movies, International Movies",Sample description created for educational EDA analysis.
s199,Movie,Sample Netflix Title 199,S. Johnson,Unknown,Spain,"November 6, 2017",1992,TV-Y7,155 min,"Action & Adventure, Thrillers",Sample description created for educational EDA analysis.
s200,Movie,Sample Netflix Title 200,M. Lee,Unknown,Japan,"January 20, 2017",2003,TV-MA,158 min,Thrillers,Sample description created for educational EDA analysis.
s201,Movie,Sample Netflix Title 201,S. Johnson,Unknown,Brazil,"July 13, 2016",2012,PG-13,162 min,"Action & Adventure, Dramas",Sample description created for educational EDA analysis.
s202,Movie,Sample Netflix Title 202,Unknown,Unknown,France,"July 6, 2017",2001,R,150 min,"International Movies, Action & Adventure, Reality TV",Sample description created for educational EDA analysis.
s203,TV Show,Sample Netflix Title 203,S. Johnson,Unknown,Canada,"February 18, 2019",2007,PG-13,8 Seasons,"Thrillers, Dramas",Sample description created for educational EDA analysis.
s204,TV Show,Sample Netflix Title 204,S. Johnson,Unknown,Spain,"April 9, 2020",2014,TV-14,1 Seasons,"Children & Family Movies, Comedies, Documentaries",Sample description created for educational EDA analysis.
s205,TV Show,Sample Netflix Title 205,M. Lee,Unknown,Brazil,"September 11, 2017",2018,PG-13,8 Seasons,Documentaries,Sample description created for educational EDA analysis.
s206,Movie,Sample Netflix Title 206,M. Lee,Unknown,Brazil,"December 10, 2016",1990,TV-PG,121 min,"Reality TV, International Movies",Sample description created for educational EDA analysis.
s207,Movie,Sample Netflix Title 207,R. Kumar,Unknown,Nigeria,"June 28, 2018",1987,TV-Y,88 min,International Movies,Sample description created for educational EDA analysis.
s208,Movie,Sample Netflix Title 208,Unknown,Unknown,India,"May 17, 2017",1986,TV-MA,152 min,Thrillers,Sample description created for educational EDA analysis.
s209,TV Show,Sample Netflix Title 209,S. Johnson,Unknown,India,"May 25, 2016",2021,TV-Y,5 Seasons,"Thrillers, International Movies, Action & Adventure",Sample description created for educational EDA analysis.
s210,Movie,Sample Netflix Title 210,Unknown,Unknown,United States,"March 13, 2016",2006,TV-MA,85 min,"Children & Family Movies, Crime TV Shows, Horror Movies",Sample description created for educational EDA analysis.
